1FwULyQHKUEEcjREyKDe9pUk4vz76kHfL -> totalcnt: 111, realcnt: 22, vericnt: 21, maxBias: 1, maxCnt: 0, rfound: False
1E1ZE19cqveA6kfdBVEtofbXB1s7QLf8wb -> totalcnt: 147, realcnt: 35, vericnt: 35, maxBias: 9, maxCnt: 2, rfound: False
1CsHaKcYre1f9RtHMC984YVYBZVMPfXdd3 -> totalcnt: 997, realcnt: 251, vericnt: 251, maxBias: 9, maxCnt: 1, rfound: False
1BowP9AXuMTjiiR1u1AJjUwMNuRaZP9BSp -> totalcnt: 1091, realcnt: 1091, vericnt: 1091, maxBias: 9, maxCnt: 9, rfound: False
1DYeqHmB3RzYob257bDExHc1VB8tiyApii -> totalcnt: 57, realcnt: 12, vericnt: 12, maxBias: 1, maxCnt: 0, rfound: False
1JHF77j77Zt1sfjzCnrYsyAnqTRp5t7woa -> totalcnt: 892, realcnt: 227, vericnt: 226, maxBias: 9, maxCnt: 2, rfound: False
1KLWnb23NQwN82xWkHDKXxFBBmMZNqe9n2 -> totalcnt: 229, realcnt: 63, vericnt: 63, maxBias: 1, maxCnt: 0, rfound: False
12f2RzYwGyLePTjwfaZb5XKKnQgeAs5fH3 -> totalcnt: 149, realcnt: 46, vericnt: 46, maxBias: 1, maxCnt: 0, rfound: False
14HfnQ4o57VsCsoXeuBuaoqKgag3Mgamky -> totalcnt: 200, realcnt: 50, vericnt: 49, maxBias: 1, maxCnt: 0, rfound: False
1Bf2Pc73am3aCBdgrJ5HMhRJP5RpwK5fUj -> totalcnt: 144, realcnt: 35, vericnt: 35, maxBias: 1, maxCnt: 0, rfound: False
1FHBuvz13fzEajoFTHr43MdGoTDhuAZbtF -> totalcnt: 61, realcnt: 15, vericnt: 15, maxBias: 1, maxCnt: 0, rfound: False
19hrCF1rj257wKEHY1UKkum8D4j76muBbq -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1P4Tn9WLjMHAXTRwoiTZdeZxdhbD2TUb34 -> totalcnt: 63, realcnt: 18, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
13Z6ns4pKBjBcndFaJAySMmePfFxVqT88o -> totalcnt: 110, realcnt: 28, vericnt: 28, maxBias: 9, maxCnt: 1, rfound: False
1FepqUFpqgLMp3GBMTmxSecM37bikeQENx -> totalcnt: 55, realcnt: 16, vericnt: 16, maxBias: 1, maxCnt: 0, rfound: False
15t9SpaEj2PEZXi2QurysXpDUZ6M3WHM58 -> totalcnt: 239, realcnt: 67, vericnt: 66, maxBias: 1, maxCnt: 0, rfound: False
1F4TAVgSWimLCZtfQHZob4xggB8QQ5Ru7n -> totalcnt: 68, realcnt: 19, vericnt: 19, maxBias: 1, maxCnt: 0, rfound: False
1C7SBVTJA5DNsM9wh3S6B62SBXRpmNvTm -> totalcnt: 112, realcnt: 27, vericnt: 27, maxBias: 1, maxCnt: 0, rfound: False
1HGzzH3JUni5vbS6mNZiTDqMdXDWYQcU6r -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1GLJiLZUpwHYWKTNdGh6MPmwzc5ACg1czU -> totalcnt: 69, realcnt: 24, vericnt: 24, maxBias: 1, maxCnt: 0, rfound: False
